Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
TokenizedLogin-1653946500185,2,5100,738,9462,9462,9462,738,9462,0.000%,.21135,3.87,0.76
TokenizedLogin-1653946500326,1,642,642,642,642,642,642,642,0.000%,1.55763,28.50,5.57
TokenizedLogin-1653946500281,1,742,742,742,742,742,742,742,0.000%,1.34771,24.66,4.82
TokenizedLogin-1653946500364,1,717,717,717,717,717,717,717,0.000%,1.39470,25.52,4.99
DashboardRoute-1653946500616,1,521,521,521,521,521,521,521,0.000%,1.91939,157.14,2.37
DashboardRoute-1653946500635,1,532,532,532,532,532,532,532,0.000%,1.87970,153.89,2.32
DashboardRoute-1653946500734,1,477,477,477,477,477,477,477,0.000%,2.09644,171.63,2.59
DashboardRoute-1653946500822,1,389,389,389,389,389,389,389,0.000%,2.57069,210.46,3.18
DashboardRoute-1653946500742,1,475,475,475,475,475,475,475,0.000%,2.10526,172.35,2.60
LoginDashboard-1653946499494,1,1852,1852,1852,1852,1852,1852,1852,0.000%,.53996,1.69,0.93
TokenizedLogin-1653946500692,1,673,673,673,673,673,673,673,0.000%,1.48588,27.19,5.32
LoginCheck-1653946501262,1,109,109,109,109,109,109,109,0.000%,9.17431,10.74,18.47
LoginCheck-1653946501251,1,123,123,123,123,123,123,123,0.000%,8.13008,9.52,16.36
LoginCheck-1653946501256,1,119,119,119,119,119,119,119,0.000%,8.40336,9.84,16.91
LoginCheck-1653946501280,1,105,105,105,105,105,105,105,0.000%,9.52381,11.15,19.17
DashboardRoute-1653946501006,1,443,443,443,443,443,443,443,0.000%,2.25734,184.80,2.79
DashboardRoute-1653946501041,1,436,436,436,436,436,436,436,0.000%,2.29358,187.77,2.83
DashboardRoute-1653946501046,1,440,440,440,440,440,440,440,0.000%,2.27273,186.06,2.81
LoginUser-1653946501378,1,293,293,293,293,293,293,293,0.000%,3.41297,5.35,5.32
LoginUser-1653946501422,1,249,249,249,249,249,249,249,0.000%,4.01606,6.29,6.26
LoginUser-1653946501438,1,275,275,275,275,275,275,275,0.000%,3.63636,5.70,5.66
